id	cue	alpha_deg	location	dir	resp	rerr
sj01	1	60	2	-1	0.27	0.777197551196598
sj01	2	320	4	1	0.26	0.958131700797732
sj01	1	120	3	1	2.96	0.865604897606805
sj01	1	300	4	-1	-1.67	0.622802448803402
sj01	2	220	4	-1	-1.75	-0.693460952792061
sj01	2	180	1	1	-1.99	1.15159265358979
sj01	1	220	2	-1	3.11	0.729724354387525
sj01	1	250	3	1	-1.99	-0.070137822806237
sj01	1	260	3	1	-1.54	0.20532925199433
sj01	2	340	2	1	0.19	0.539065850398866
sj01	1	40	1	1	1.43	0.731868299202268
sj01	2	220	1	1	-1.83	0.613460952792061
sj01	1	190	3	-1	2.98	0.336125578789226
sj01	1	100	2	1	1.98	0.23467074800567
sj01	2	100	3	-1	1.42	0.32532925199433
sj01	2	10	2	-1	0.15	0.024532925199433
sj01	2	270	4	1	-0.36	1.2107963267949
sj01	1	220	2	1	-1.8	0.643460952792062
sj01	1	10	1	1	1.33	1.15546707480057
sj01	1	190	4	-1	3.13	0.186125578789226
sj01	2	250	2	1	-1.45	0.469862177193763
sj01	2	280	4	1	-0.55	0.846263401595464
sj01	2	230	4	-1	-2.89	0.621071972407371
sj01	1	310	3	-1	-1.46	0.587335374002835
sj01	2	230	4	1	-1.82	0.448928027592628
sj01	1	0	2	1	0.34	0.34
sj01	2	340	4	-1	0.05	-0.399065850398866
sj01	2	280	4	-1	-1.75	0.353736598404536
sj01	2	60	1	-1	0.59	0.457197551196598
sj01	1	170	1	1	-2.65	0.666125578789226
sj01	2	20	1	-1	0.35	-0.000934149601134082
sj01	2	140	3	-1	-1.85	-1.98972435438752
sj01	1	270	3	-1	-0.39	-1.1807963267949
sj01	1	180	3	1	-3	0.141592653589793
sj01	2	50	2	-1	0.25	0.622664625997165
sj01	2	10	4	-1	-0.15	0.324532925199433
sj01	2	350	3	-1	-0.96	0.785467074800566
sj01	1	270	1	-1	-1.95	0.379203673205103
sj01	2	250	3	-1	2.18	2.18332312998582
sj01	2	260	4	-1	-2.13	0.38467074800567
